_id,league,time,homeTeam,guestTeam,odd1,oddX,odd2,odd1X,odd12,oddX2,odd0to2,odd3plus,odd4plus
ObjectId(5f5a0a62863543710f9c0ca3),Qualification Champions League,Tue 19:00,Dynamo Kyiv,AZ Alkmaar,2.15,3.35,3.50,1.31,1.33,1.71,1.76,1.95,3.45
ObjectId(5f5a0a68863543710f9c0ca4),Qualification Champions League,Tue 20:00,PAOK,Benfica,4.70,3.50,1.80,2.01,1.30,1.19,1.80,1.90,3.30
ObjectId(5f5a0a69863543710f9c0ca5),Qualification Champions League,Tue 20:30,Gent,Rapid,1.85,3.50,4.40,1.21,1.30,1.95,1.96,1.75,2.90
ObjectId(5f5a0a69863543710f9c0ca6),Qualification Champions League,Wed 17:00,Omonia,Crvena Zvezda,4.50,3.45,1.85,1.95,1.31,1.20,1.69,2.05,3.80
ObjectId(5f5a0a69863543710f9c0ca7),Qualification Champions League,Wed 19:00,Ferencvaros,Dinamo Z.,3.35,3.35,2.20,1.68,1.33,1.33,1.80,1.90,3.30
ObjectId(5f5a0a69863543710f9c0ca8),Qualification Champions League,Wed 19:00,Maccabi T.A.,Dinamo Brest,1.60,3.80,6.00,1.13,1.26,2.33,1.85,1.85,3.15
ObjectId(5f5a0a69863543710f9c0ca9),Qualification Champions League,Wed 19:00,Qarabag,Molde,2.80,3.25,2.55,1.50,1.33,1.43,1.80,1.90,3.30
ObjectId(5f5a0a6a863543710f9c0caa),Qualification Champions League,Wed 20:30,Midtjylland,Young Boys,2.70,3.25,2.65,1.47,1.34,1.46,1.90,1.80,3.05
ObjectId(5f5a0a6a863543710f9c0cab),Qualification Europa League,Thu 19:30,Nomme,Mura,13.0,7.75,1.18,4.80,1.08,1.02,3.20,1.30,1.73
ObjectId(5f5a0a6a863543710f9c0cac),Qualification Europa League,Wed 19:00,Hammarby TFF,Lech Poznan,2.45,3.30,2.95,1.41,1.34,1.56,1.90,1.80,3.05
ObjectId(5f5a0a6a863543710f9c0cad),Qualification Europa League,17.09. Thu 17:45,Botosani,Shkendija,1.80,3.50,4.70,1.19,1.30,2.01,1.76,1.95,3.45
ObjectId(5f5a0a6b863543710f9c0cae),Qualification Europa League,17.09. Thu 18:00,Riteriai,Liberec,7.25,4.40,1.45,2.70,1.21,1.09,2.19,1.60,2.55
ObjectId(5f5a0a6b863543710f9c0caf),Qualification Europa League,17.09. Thu 19:00,Lok.Tbilisi,Dinamo Moscow,7.75,4.30,1.45,2.75,1.22,1.08,1.85,1.85,3.15
ObjectId(5f5a0a6b863543710f9c0cb0),Qualification Europa League,17.09. Thu 19:00,Sfintul,Partizan,6.50,4.30,1.50,2.55,1.22,1.11,2.11,1.65,2.70
ObjectId(5f5a0a6b863543710f9c0cb1),Qualification Europa League,17.09. Thu 20:00,Piast Gliwice,Hartberg,2.25,3.35,3.20,1.35,1.32,1.64,1.96,1.75,2.90
ObjectId(5f5a0a6b863543710f9c0cb2),Qualification Europa League,17.09. Thu 20:45,Dac Streda,Jablonec,2.20,3.35,3.35,1.33,1.33,1.68,1.76,1.95,3.45
ObjectId(5f5a0a6c863543710f9c0cb3),Qualification Europa League,17.09. Thu 21:00,Backa Topola,FCSB,4.40,3.50,1.85,1.95,1.30,1.21,1.85,1.85,3.15
ObjectId(5f5a0a6c863543710f9c0cb4),England - Premier,Sat 13:30,Fulham,Arsenal,5.80,3.90,1.60,2.33,1.25,1.13,2.03,1.70,2.75
ObjectId(5f5a0a6c863543710f9c0cb5),England - Premier,Sat 16:00,Crystal Pal.,Southampton,3.00,3.10,2.50,1.52,1.36,1.38,1.62,2.15,4.00
ObjectId(5f5a0a6c863543710f9c0cb6),England - Premier,Sat 18:30,Liverpool,Leeds,1.30,5.70,9.00,1.06,1.14,3.45,2.41,1.50,2.20
ObjectId(5f5a0a6c863543710f9c0cb7),England - Premier,Sat 21:00,West Ham,Newcastle,2.25,3.30,3.25,1.34,1.33,1.64,1.85,1.85,3.15
ObjectId(5f5a0a6d863543710f9c0cb8),England - Premier,Sun 15:00,WBA,Leicester,3.60,3.45,2.05,1.76,1.31,1.29,1.90,1.80,3.05
ObjectId(5f5a0a6d863543710f9c0cb9),England - Premier,Sun 17:30,Tottenham,Everton,1.90,3.50,4.10,1.23,1.30,1.89,1.90,1.80,3.05
ObjectId(5f5a0a6d863543710f9c0cba),England - Premier,Mon 19:00,Sheffield Utd,Wolverhampton,3.05,2.95,2.55,1.50,1.39,1.37,1.47,2.50,5.00
ObjectId(5f5a0a6d863543710f9c0cbb),England - Premier,Mon 21:15,Brighton,Chelsea,5.20,3.70,1.70,2.16,1.28,1.16,2.03,1.70,2.75
ObjectId(5f5a0a6d863543710f9c0cbc),England - Premier,19.09. Sat 13:30,Everton,WBA,1.60,4.00,5.70,1.14,1.25,2.35,2.11,1.65,2.70
ObjectId(5f5a0a6e863543710f9c0cbd),England - Premier,19.09. Sat 16:00,Leeds,Fulham,1.75,3.50,5.10,1.17,1.30,2.08,1.72,2.00,3.60
ObjectId(5f5a0a6e863543710f9c0cbe),England - Premier,19.09. Sat 18:30,Man.Utd.,Crystal Pal.,1.30,5.70,9.00,1.06,1.14,3.45,2.41,1.50,2.20
ObjectId(5f5a0a6e863543710f9c0cbf),England - Premier,19.09. Sat 21:00,Arsenal,West Ham,1.55,4.10,6.00,1.12,1.23,2.44,2.19,1.60,2.55
ObjectId(5f5a0a6e863543710f9c0cc0),England - Premier,20.09. Sun 13:00,Southampton,Tottenham,3.15,3.30,2.30,1.61,1.33,1.36,1.80,1.90,3.30
ObjectId(5f5a0a6f863543710f9c0cc1),England - Premier,20.09. Sun 15:00,Newcastle,Brighton,2.60,3.00,2.95,1.39,1.38,1.49,1.55,2.30,4.40
ObjectId(5f5a0a6f863543710f9c0cc2),England - Premier,20.09. Sun 17:30,Chelsea,Liverpool,3.25,3.45,2.20,1.67,1.31,1.34,2.11,1.65,2.70
ObjectId(5f5a0a6f863543710f9c0cc3),England - Premier,20.09. Sun 20:00,Leicester,Burnley,1.60,3.80,6.00,1.13,1.26,2.33,1.85,1.85,3.15
ObjectId(5f5a0a6f863543710f9c0cc4),England - Premier,21.09. Mon 19:00,Aston Villa,Sheffield Utd,2.70,3.10,2.75,1.44,1.36,1.46,1.69,2.05,3.80
ObjectId(5f5a0a6f863543710f9c0cc5),England - Premier,21.09. Mon 21:15,Wolverhampton,Man.City,6.50,4.30,1.50,2.55,1.22,1.11,2.19,1.60,2.55
ObjectId(5f5a0a70863543710f9c0cc6),Spain - Primera Division,Sat 16:00,Eibar,Celta,2.60,3.10,2.85,1.41,1.36,1.48,1.62,2.15,4.00
ObjectId(5f5a0a70863543710f9c0cc7),Spain - Primera Division,Sat 18:30,Granada,Ath.Bilbao,2.80,2.85,2.90,1.41,1.42,1.44,1.47,2.50,5.00
ObjectId(5f5a0a70863543710f9c0cc8),Spain - Primera Division,Sat 21:00,Cadiz,Osasuna,2.90,2.95,2.70,1.46,1.40,1.41,1.47,2.50,5.00
ObjectId(5f5a0a70863543710f9c0cc9),Spain - Primera Division,Sun 14:00,Alaves,Betis,2.75,3.10,2.70,1.46,1.36,1.44,1.69,2.05,3.80
