_id,league,time,homeTeam,guestTeam,odd1,odd2,oddFirstSet1,oddFirstSet2,oddHen1,oddHen2
ObjectId(5f5a0ae0863543710f9c0ee1),Gsm Us Open Hard,Fri 16:00,Medvedev D.,Thiem D.,1.48,2.45,1.90,1.80,1.95,1.75
ObjectId(5f5a0ae0863543710f9c0ee2),Gsm Us Open Hard,Fri 16:00,Zverev A.,Carreno P.,2.10,1.65,2.41,1.50,2.90,1.35
ObjectId(5f5a0ae0863543710f9c0ee3),Gsw Us Open Hard,Fri 01:05,Osaka N.,Brady J.,1.70,2.05,2.41,1.50,2.70,1.40
ObjectId(5f5a0ae0863543710f9c0ee4),Gsw Us Open Hard,Fri 01:05,Osaka N.,Brady J.,1.80,2.15,2.55,1.60,2.85,1.50
ObjectId(5f5a0ae0863543710f9c0ee5),Gsw Us Open Hard,Fri 02:20,Williams S.,Azarenka V.,1.33,3.00,1.85,1.85,1.85,1.85
ObjectId(5f5a0ae0863543710f9c0ee6),Gsw Us Open Hard,Fri 02:20,Williams S.,Azarenka V.,1.40,3.10,1.95,1.95,1.95,1.95
ObjectId(5f5a0ae0863543710f9c0ee7),Gsw Us Open Hard Doubles,Fri 18:05,Meli/Xu,Sieg/Zvon,1.40,2.70,1.95,1.75,1.95,1.75
ObjectId(5f5a0ae0863543710f9c0ee8),Gsm Us Open Hard Doubles,Thu 21:05,Pavi/Soar ,Kool/Mekt,1.50,2.40,2.03,1.70,2.19,1.60
ObjectId(5f5a0ae0863543710f9c0ee9),Atp Kitzbuhel Clay,Thu 13:25,Thompson J.,Kecmanovic M.,1.90,1.80,1.40,2.70,1.30,3.20
ObjectId(5f5a0ae0863543710f9c0eea),Atp Kitzbuhel Clay,Thu 13:25,Thompson J.,Kecmanovic M.,2.05,1.95,1.50,2.90,1.40,3.45
ObjectId(5f5a0ae0863543710f9c0eeb),Atp Kitzbuhel Clay,Thu 14:00,Schwartzman D.,Ofner S.,2.40,1.50,4.40,1.17,5.30,1.12
ObjectId(5f5a0ae0863543710f9c0eec),Atp Kitzbuhel Clay,Thu 14:50,Lopez F.,Pella G.,1.85,1.85,1.40,2.70,1.30,3.20
ObjectId(5f5a0ae0863543710f9c0eed),Atp Kitzbuhel Clay,Thu 14:50,Lopez F.,Pella G.,2.10,1.90,1.55,2.75,1.45,3.10
ObjectId(5f5a0ae0863543710f9c0eee),Atp Kitzbuhel Clay,Thu 15:25,Fognini F.,Huesler M.,1.65,2.10,2.41,1.50,2.70,1.40
ObjectId(5f5a0ae0863543710f9c0eef),Atp Kitzbuhel Clay,Thu 15:25,Fognini F.,Huesler M.,1.75,2.25,2.55,1.60,2.85,1.50
ObjectId(5f5a0ae0863543710f9c0ef0),Atp Kitzbuhel Clay Doubles ,Thu 13:35,Kraj/Skug,Purc/Savi,2.95,1.35,1.85,1.85,1.85,1.85
