time,homeTeam,guestTeam,odd1,odd2,oddFirstSet1,oddFirstSet2,oddHen1,oddHen2
Tue 17:05,Goffin D.,Struff J.,1.50,2.40,2.11,1.65,2.29,1.55
Tue 17:05,Medvedev D.,Bedene A.,2.10,1.65,3.20,1.30,4.00,1.20
Tue 17:05,Medvedev D.,Bedene A.,2.25,1.80,3.45,1.40,4.30,1.30
Tue 18:20,Bautista R.,Khachanov K.,1.47,2.50,2.03,1.70,2.19,1.60
Tue 20:50,Berrettini M.,Opelka R.,1.50,2.40,2.11,1.65,2.29,1.55
Tue 21:35,Djokovic N.,Sandgren T.,2.40,1.50,3.80,1.22,4.70,1.15
Tue 21:35,Djokovic N.,Sandgren T.,2.60,1.65,4.10,1.35,5.05,1.25
Tue 22:15,Tsitsipas S.,Isner J.,1.80,1.90,2.90,1.35,3.55,1.25
Tue 22:15,Tsitsipas S.,Isner J.,1.95,2.05,3.10,1.45,3.80,1.35
Tue 23:00,Raonic M.,Murray A.,1.45,2.55,2.03,1.70,2.19,1.60
Wed 01:05,Krajinovic F.,Fucsovics M.,1.55,2.30,2.19,1.60,2.41,1.50
Wed 01:05,Krajinovic F.,Fucsovics M.,1.60,2.40,2.25,1.65,2.50,1.55
Tue 17:05,Melz/Roge,Kraw/Mies,1.40,2.70,1.90,1.80,2.03,1.70
Tue 18:20,John/Kraj,Kubo/Melo,2.20,1.60,1.60,2.19,1.50,2.41
Tue 19:35,Murr/Skup,Caci/Lajo,1.97,1.75,2.70,1.40,3.20,1.30
Tue 22:05,Frit/Opel,Gran/Zeba,2.10,1.65,1.55,2.29,1.45,2.55
Wed 16:00,Kool/Mekt,Carr/DeMi,1.45,2.55,1.95,1.75,2.11,1.65
Tue 17:05,Kontaveit A.,Bouzkova M.,1.65,2.10,2.19,1.60,2.41,1.50
Tue 17:05,Mertens E.,Kudermetova V.,1.75,1.97,2.41,1.50,2.70,1.40
Tue 17:05,Mertens E.,Kudermetova V.,1.85,2.10,2.55,1.60,2.85,1.50
Tue 18:30,Konta J.,Zvonareva V.,1.55,2.30,2.03,1.70,2.19,1.60
Tue 19:35,Sabalenka A.,Pegula J.,1.65,2.10,2.29,1.55,2.55,1.45
Tue 20:35,Azarenka V.,Cornet A.,1.50,2.40,2.03,1.70,2.19,1.60
Tue 21:05,Osaka N.,Yastremska D.,1.80,1.90,2.55,1.45,2.90,1.35
Tue 21:05,Osaka N.,Yastremska D.,1.90,2.00,2.70,1.55,3.05,1.45
Tue 22:20,Jabeur O.,Mchale C.,1.65,2.10,2.29,1.55,2.55,1.45
Wed 01:05,Williams S.,Sakkari M.,1.45,2.55,2.00,1.72,2.03,1.70
Wed 01:05,Williams S.,Sakkari M.,1.50,2.65,2.10,1.80,2.10,1.75
Tue 17:05,Gauf/McNa,Meli/Xu,1.50,2.40,2.03,1.70,2.19,1.60
Tue 18:20,Cart/Stef,Pere/Sand,1.60,2.20,2.19,1.60,2.41,1.50
Tue 21:05,Aoya/Shib,Pegu/Roge,1.60,2.20,2.19,1.60,2.41,1.50
Tue 21:05,Mert/Saba,Guar/Kraw,2.20,1.60,3.20,1.30,3.80,1.22
Tue 21:05,Pesc/Schu,Alex/Zvon,1.50,2.40,2.03,1.70,2.19,1.60
Tue 22:05,Azar/Keni,Blin/Kude,1.65,2.10,2.29,1.55,2.55,1.45
Tue 16:05,Hanfmann Y.,Moroni G.,1.60,2.20,2.29,1.55,2.55,1.45
Wed 10:00,Gigante M.,Ficovich J.,2.10,1.65,1.50,2.41,1.40,2.70
Wed 10:00,Moraing M.,Etcheverry T.,2.70,1.40,1.75,1.95,1.75,1.95
Wed 10:00,Viola Mat.,Garfia C.,1.80,1.90,1.35,2.90,1.25,3.55
Wed 10:00,Griekspoor T.,Stakhovsky S.,1.75,1.97,2.70,1.40,3.20,1.30
Wed 10:00,Olivo R.,Ofner S.,1.35,2.95,1.85,1.85,1.85,1.85
Tue 17:30,Stanek R.,Peters F.,2.10,1.65,3.00,1.33,3.80,1.22
Tue 17:30,Poznikhirenko G.,Cadar E.T.,1.47,2.50,2.03,1.70,2.19,1.60
Tue 17:00,Cazaux A.,Dijkhuizen M.,2.40,1.50,3.80,1.22,4.40,1.17
Wed 09:30,Aichhorn J.,Dalla E.,1.60,2.20,1.30,3.20,1.22,3.80
Wed 09:30,Ajdukovic D.,Izquierdo N.,1.80,1.90,1.40,2.70,1.30,3.20
Wed 09:30,Descotte M.,Neumayer L.,1.55,2.30,2.11,1.65,2.29,1.55
Wed 09:30,Dubrivny A.,Pichler D.,1.45,2.55,2.00,1.72,2.03,1.70
Wed 09:30,Fanselow S.,Doumbia S.,1.40,2.70,1.85,1.85,1.85,1.85
Wed 09:30,Lama G.,Forti F.,1.80,1.90,1.45,2.55,1.35,2.90
Wed 09:30,Marozsan F.,Hampel L.,1.55,2.30,2.11,1.65,2.29,1.55
